PLACEMENT_ID,STUDENT_ID,MOCK_INTERVIEW_SCORE,INTERNSHIPS_COMPLETED,PLACEMENT_STATUS,COMPANY_NAME,PLACEMENT_PACKAGE,INTERVIEW_ROUNDS_CLEARED,PLACEMENT_DATE
487,487,88,3,NotPlaced,,0,3,
488,488,59,0,Placed,Scott-Jones,1473754,5,2024-12-28
489,489,88,2,NotPlaced,,0,4,
490,490,94,0,Placed,Brown-Lopez,627156,0,2024-12-17
491,491,75,2,Placed,Lucas-Goodwin,773830,2,2025-02-17
492,492,49,2,Placed,"Short, Wyatt and Jennings",421123,4,2025-02-22
493,493,61,2,Placed,Peterson and Sons,1040687,0,2024-08-14
494,494,99,3,NotPlaced,,0,1,
495,495,78,0,Placed,Knapp-Miller,1326269,0,2025-06-13
496,496,57,2,NotPlaced,,0,1,
497,497,84,3,Placed,Snyder PLC,575338,1,2024-12-18
498,498,40,1,Placed,Washington Inc,1185373,2,2024-10-01
499,499,49,3,NotPlaced,,0,1,
500,500,55,1,NotPlaced,,0,3,
